t,i1,i2,i3,i4,i5,i6,i7,i8
0.0,65,-65,0,0,0,0,-0.0,0
0.01,65,-65,0,0,0,0,-0.1,0
0.02,65,-65,0,0,0,0,-1.1,0
0.03,65,-65,0,0,0,0,0.8,0
0.04,65,-65,0,0,0,0,11.3,0
0.05,65,-65,0,0,0,0,29.9,0
0.060000000000000005,65,-65,0,0,0,0,33.4,0
0.07,65,-65,0,0,0,0,21.1,0
0.08,65,-65,0,0,0,0,1.6,0
0.09,65,-65,0,0,0,0,-9.4,0
0.09999999999999999,65,-65,0,0,0,0,-7.0,0
0.10999999999999999,65,-65,0,0,0,0,0.3,0
0.11999999999999998,65,-65,0,0,0,0,4.6,0
0.12999999999999998,65,-65,0,0,0,0,3.9,0
0.13999999999999999,65,-65,0,0,0,0,-0.6,0
0.15,65,-65,0,0,0,0,-2.3,0
0.16,65,-65,0,0,0,0,-1.5,0
0.17,65,-65,0,0,0,0,0.1,0
0.18000000000000002,65,-65,0,0,0,0,0.8,0
0.19000000000000003,65,-65,0,0,0,0,0.2,0
0.20000000000000004,65,-65,-1,0,0,0,0.7,0
0.21000000000000005,65,-65,-2,0,0,0,1.5,0
0.22000000000000006,65,-65,-2,0,-1,0,1.3,0
0.23000000000000007,65,-65,-3,1,-1,0,1.9,0
0.24000000000000007,65,-65,-4,1,-2,0,2.8,0
0.25000000000000006,65,-65,-4,2,-3,0,3.7,1
0.26000000000000006,65,-65,-5,3,-3,0,4.5,1
0.2700000000000001,65,-65,-5,3,-4,0,4.9,1
0.2800000000000001,65,-65,-6,4,-4,0,3.9,1
0.2900000000000001,65,-65,-6,4,-4,1,2.5,1
0.3000000000000001,65,-65,-6,4,-5,1,3.2,1
0.3100000000000001,65,-65,-6,5,-5,2,3.0,1
0.3200000000000001,65,-65,-6,5,-5,2,3.0,1
0.3300000000000001,65,-65,-7,5,-5,2,4.2,1
0.34000000000000014,65,-65,-6,5,-5,2,6.7,1
0.35000000000000014,65,-65,-6,5,-6,3,7.7,1
0.36000000000000015,65,-65,-5,6,-5,3,6.4,1
0.37000000000000016,65,-65,-5,6,-5,3,6.9,1
0.38000000000000017,65,-65,-4,6,-5,3,5.4,1
0.3900000000000002,65,-65,-4,6,-5,3,4.3,1
0.4000000000000002,65,-65,-4,6,-5,3,6.2,1
0.4100000000000002,65,-65,-3,6,-5,4,8.1,1
0.4200000000000002,65,-65,-3,6,-5,4,5.7,1
0.4300000000000002,65,-65,-3,6,-5,4,4.2,1
0.4400000000000002,65,-65,-4,6,-4,4,6.8,1
0.45000000000000023,65,-65,-4,6,-4,4,6.6,2
0.46000000000000024,65,-65,-4,6,-4,4,6.7,2
0.47000000000000025,65,-65,-4,6,-4,5,6.4,2
0.48000000000000026,65,-65,-5,6,-4,5,7.2,2
0.49000000000000027,65,-65,-5,6,-4,5,7.6,2
0.5000000000000002,65,-65,-6,6,-4,5,5.5,2
0.5100000000000002,65,-65,-6,6,-4,5,4.5,2
0.5200000000000002,65,-65,-7,6,-4,5,4.6,2
0.5300000000000002,65,-65,-7,6,-4,5,9.6,2
0.5400000000000003,65,-65,-8,6,-5,5,12.6,2
0.5500000000000003,65,-65,-8,6,-5,5,7.8,2
0.5600000000000003,65,-65,-9,6,-5,6,8.2,2
0.5700000000000003,65,-65,-9,6,-5,6,9.5,2
0.5800000000000003,65,-65,-10,6,-5,6,14.4,3
0.5900000000000003,65,-65,-11,6,-5,6,20.5,3
0.6000000000000003,65,-65,-12,6,-5,6,16.5,3
0.6100000000000003,65,-65,-14,6,-5,7,11.9,3
0.6200000000000003,65,-65,-16,7,-5,7,14.7,3
0.6300000000000003,65,-65,-17,7,-6,8,20.9,3
0.6400000000000003,65,-65,-19,7,-6,9,26.8,4
0.6500000000000004,65,-65,-21,7,-6,11,24.2,4
0.6600000000000004,65,-65,-24,8,-8,12,23.7,4
0.6700000000000004,65,-65,-26,9,-9,14,27.9,4
0.6800000000000004,65,-65,-27,10,-11,16,22.2,5
0.6900000000000004,65,-65,-29,11,-13,18,23.5,5
0.7000000000000004,65,-65,-31,12,-16,19,29.7,5
0.7100000000000004,65,-65,-32,13,-18,21,26.2,5
0.7200000000000004,65,-65,-34,14,-21,23,32.6,6
0.7300000000000004,65,-65,-35,15,-24,26,36.1,6
0.7400000000000004,65,-65,-36,15,-27,28,33.8,7
0.7500000000000004,65,-65,-36,16,-29,31,31.2,7
0.7600000000000005,65,-65,-37,16,-31,34,36.9,7
0.7700000000000005,65,-65,-37,17,-32,37,34.3,8
0.7800000000000005,65,-65,-38,18,-34,40,41.0,8
0.7900000000000005,65,-65,-38,19,-35,42,46.6,8
0.8000000000000005,65,-65,-39,20,-37,44,41.7,9
0.8100000000000005,65,-65,-40,21,-39,47,36.3,9
0.8200000000000005,65,-65,-42,23,-41,48,52.8,10
0.8300000000000005,65,-65,-44,24,-42,50,46.7,10
0.8400000000000005,65,-65,-46,24,-43,51,37.5,11
0.8500000000000005,65,-65,-48,25,-44,52,43.0,11
0.8600000000000005,65,-65,-49,26,-44,54,48.3,11
0.8700000000000006,65,-65,-50,27,-44,55,43.3,12
0.8800000000000006,65,-65,-50,28,-45,56,50.7,12
0.8900000000000006,65,-65,-50,30,-45,57,45.4,13
0.9000000000000006,65,-65,-49,32,-46,58,42.0,13
0.9100000000000006,65,-65,-50,33,-47,59,40.4,14
0.9200000000000006,65,-65,-50,34,-48,59,52.1,14
0.9300000000000006,65,-65,-50,35,-49,60,56.6,15
0.9400000000000006,65,-65,-51,35,-50,60,39.3,15
0.9500000000000006,65,-65,-51,36,-51,60,45.4,16
0.9600000000000006,65,-65,-50,36,-51,61,45.8,16
0.9700000000000006,65,-65,-50,37,-51,61,52.7,17
0.9800000000000006,65,-65,-49,37,-52,62,40.5,17
0.9900000000000007,65,-65,-49,38,-52,63,49.6,18
1.0000000000000007,65,-65,-49,39,-52,64,62.1,18
1.0100000000000007,65,-65,-49,39,-53,65,54.5,19
1.0200000000000007,65,-65,-49,40,-53,66,42.7,19
1.0300000000000007,65,-65,-50,41,-54,67,57.4,20
1.0400000000000007,65,-65,-51,42,-54,67,60.4,20
1.0500000000000007,65,-65,-52,42,-54,68,48.7,21
1.0600000000000007,65,-65,-53,43,-54,68,50.1,21
1.0700000000000007,65,-65,-55,44,-54,69,57.4,22
1.0800000000000007,65,-65,-56,45,-54,69,64.3,22
1.0900000000000007,65,-65,-57,46,-54,70,50.9,23
1.1000000000000008,65,-65,-59,46,-53,70,45.5,23
1.1100000000000008,65,-65,-60,47,-53,70,63.1,24
1.1200000000000008,65,-65,-61,48,-53,70,56.8,25
1.1300000000000008,65,-65,-62,48,-53,70,49.4,25
1.1400000000000008,65,-65,-62,48,-53,70,46.0,26
1.1500000000000008,65,-65,-63,49,-53,70,59.7,26
1.1600000000000008,65,-65,-63,49,-53,70,67.5,27
1.1700000000000008,65,-65,-63,50,-52,70,51.1,27
1.1800000000000008,65,-65,-62,51,-52,69,54.8,28
1.1900000000000008,65,-65,-62,53,-52,69,57.4,29
1.2000000000000008,65,-65,-61,54,-52,69,56.0,29
1.2100000000000009,65,-65,-61,56,-51,68,52.6,30
1.2200000000000009,65,-65,-60,57,-51,68,59.7,30
1.2300000000000009,65,-65,-60,58,-51,68,57.3,31
1.2400000000000009,65,-65,-60,59,-52,68,57.4,31
1.2500000000000009,65,-65,-60,59,-52,67,60.8,32
1.260000000000001,65,-65,-60,59,-52,67,55.5,32
1.270000000000001,65,-65,-60,59,-52,67,48.8,33
1.280000000000001,65,-65,-61,59,-52,66,54.2,34
1.290000000000001,65,-65,-62,59,-52,66,60.8,34
1.300000000000001,65,-65,-62,58,-52,65,56.5,35
1.310000000000001,65,-65,-63,58,-53,66,48.8,35
1.320000000000001,65,-65,-63,58,-53,66,58.0,36
1.330000000000001,65,-65,-63,58,-53,66,65.6,36
1.340000000000001,65,-65,-63,57,-54,66,52.3,37
1.350000000000001,65,-65,-63,57,-55,66,46.2,37
1.360000000000001,65,-65,-63,57,-55,67,58.5,38
1.370000000000001,65,-65,-63,56,-56,67,60.2,39
1.380000000000001,65,-65,-63,56,-57,67,45.2,39
1.390000000000001,65,-65,-63,55,-57,67,51.8,40
1.400000000000001,65,-65,-63,55,-57,67,58.9,40
1.410000000000001,65,-65,-63,55,-57,67,61.1,41
1.420000000000001,65,-65,-64,55,-56,67,46.9,41
1.430000000000001,65,-65,-64,55,-56,66,51.9,42
1.440000000000001,65,-65,-64,55,-56,67,65.5,42
1.450000000000001,65,-65,-63,55,-55,67,56.2,43
1.460000000000001,65,-65,-63,56,-55,67,49.2,43
1.470000000000001,65,-65,-62,56,-55,67,60.4,44
1.480000000000001,65,-65,-62,57,-55,67,68.7,45
1.490000000000001,65,-65,-61,57,-56,68,54.7,45
1.500000000000001,65,-65,-61,58,-56,69,49.8,46
1.5100000000000011,65,-65,-62,58,-57,69,61.5,46
1.5200000000000011,65,-65,-62,57,-57,70,62.6,47
1.5300000000000011,65,-65,-63,57,-58,71,52.6,48
1.5400000000000011,65,-65,-63,56,-59,71,62.0,48
1.5500000000000012,65,-65,-64,56,-60,72,62.5,49
1.5600000000000012,65,-65,-64,55,-61,72,61.5,49
1.5700000000000012,65,-65,-65,55,-62,73,55.7,50
1.5800000000000012,65,-65,-64,55,-62,73,66.3,51
1.5900000000000012,65,-65,-64,56,-62,73,70.3,51
1.6000000000000012,65,-65,-64,56,-62,74,59.2,52
1.6100000000000012,65,-65,-64,57,-63,74,64.0,53
1.6200000000000012,65,-65,-63,57,-64,75,68.8,53
1.6300000000000012,65,-65,-63,58,-64,76,63.1,54
1.6400000000000012,65,-65,-63,58,-65,77,58.3,54
1.6500000000000012,65,-65,-62,59,-66,77,67.4,55
1.6600000000000013,65,-65,-61,59,-66,77,68.9,56
1.6700000000000013,65,-65,-60,60,-66,77,63.2,56
1.6800000000000013,65,-65,-60,60,-66,77,58.1,57
1.6900000000000013,65,-65,-60,61,-65,77,64.9,58
1.7000000000000013,65,-65,-60,61,-65,77,63.8,58
1.7100000000000013,65,-65,-59,62,-64,76,65.6,59
1.7200000000000013,65,-65,-59,62,-63,76,54.3,60
1.7300000000000013,65,-65,-60,62,-63,76,58.1,60
