t,i1,i2,i3,i4,i5,i6
0.0,180,0,0,0,0,9000
0.01,180,0,0,0,0,9000
0.02,180,0,0,0,0,9000
0.03,180,0,0,0,0,9000
0.04,180,0,0,0,0,8986
0.05,180,0,1,1,1,8955
0.060000000000000005,180,1,2,2,1,8905
0.07,180,3,4,3,3,8838
0.08,180,4,5,5,5,8755
0.09,180,6,8,8,7,8657
0.09999999999999999,180,9,10,12,10,8546
0.10999999999999999,180,11,13,16,13,8424
0.11999999999999998,180,14,15,20,17,8293
0.12999999999999998,180,16,18,25,21,8153
0.13999999999999999,180,19,22,30,25,8001
0.15,180,23,25,36,30,7839
0.16,180,26,28,42,35,7667
0.17,180,30,32,48,40,7484
0.18000000000000002,180,34,36,54,45,7291
0.19000000000000003,180,38,40,61,51,7087
0.20000000000000004,180,42,44,67,56,6873
0.21000000000000005,180,47,49,73,61,6649
0.22000000000000006,180,51,53,80,67,6416
0.23000000000000007,220,56,58,86,72,8174
0.24000000000000007,220,61,63,92,78,7925
0.25000000000000006,220,66,68,98,83,7670
0.26000000000000006,220,71,73,104,89,7409
0.2700000000000001,220,77,79,109,94,7145
0.2800000000000001,220,82,84,115,99,6876
0.2900000000000001,220,87,89,120,104,6604
0.3000000000000001,220,93,95,125,109,6331
0.3100000000000001,220,98,100,130,115,6057
0.3200000000000001,220,104,106,135,119,5785
0.3300000000000001,220,109,111,140,124,5516
0.34000000000000014,220,114,116,144,129,5252
0.35000000000000014,220,120,122,148,134,4992
0.36000000000000015,220,125,127,152,138,4739
0.37000000000000016,220,130,131,156,142,4494
0.38000000000000017,220,134,136,160,146,4257
0.3900000000000002,220,139,141,163,150,4030
0.4000000000000002,220,143,145,166,154,3814
0.4100000000000002,220,147,149,169,157,3609
0.4200000000000002,220,151,153,172,161,3416
0.4300000000000002,220,155,156,174,164,3234
0.4400000000000002,220,158,160,176,167,3063
0.45000000000000023,220,161,163,178,169,2903
0.46000000000000024,220,164,166,180,172,2755
0.47000000000000025,220,167,169,182,174,2618
0.48000000000000026,220,170,171,183,176,2492
0.49000000000000027,220,172,173,184,177,2377
0.5000000000000002,220,174,176,185,179,2273
0.5100000000000002,220,176,178,186,180,2180
0.5200000000000002,220,178,179,187,181,2096
0.5300000000000002,220,179,181,187,182,2023
0.5400000000000003,220,180,182,188,183,1958
0.5500000000000003,220,181,184,188,184,1902
0.5600000000000003,220,182,185,188,184,1855
0.5700000000000003,220,183,185,188,185,1816
0.5800000000000003,220,184,186,188,185,1784
0.5900000000000003,220,184,186,188,185,1761
0.6000000000000003,220,185,187,187,185,1746
0.6100000000000003,220,185,187,187,185,1738
0.6200000000000003,220,185,187,186,184,1737
0.6300000000000003,220,185,186,186,184,1744
0.6400000000000003,220,184,186,185,184,1758
0.6500000000000004,220,184,185,184,183,1778
0.6600000000000004,220,183,184,183,183,1805
0.6700000000000004,220,183,184,182,182,1838
0.6800000000000004,220,182,182,181,181,1877
0.6900000000000004,220,181,181,180,180,1922
0.7000000000000004,220,180,180,179,180,1971
0.7100000000000004,220,179,179,178,179,2024
0.7200000000000004,220,178,178,177,178,2082
0.7300000000000004,220,177,176,176,177,2142
0.7400000000000004,220,175,175,175,176,2206
0.7500000000000004,220,174,174,173,175,2270
0.7600000000000005,220,173,172,172,174,2336
0.7700000000000005,220,171,171,171,173,2403
0.7800000000000005,220,170,170,170,172,2469
0.7900000000000005,220,169,168,168,171,2536
0.8000000000000005,220,167,167,167,170,2602
0.8100000000000005,220,166,166,166,168,2668
0.8200000000000005,220,165,165,165,167,2733
0.8300000000000005,220,164,164,164,166,2798
0.8400000000000005,220,162,163,163,165,2863
0.8500000000000005,220,161,162,162,164,2926
0.8600000000000005,220,160,161,161,163,2988
0.8700000000000006,220,159,160,160,162,3047
0.8800000000000006,220,157,159,159,160,3103
0.8900000000000006,220,156,158,158,159,3157
0.9000000000000006,220,155,157,157,158,3208
0.9100000000000006,220,154,156,157,157,3257
0.9200000000000006,220,153,156,156,156,3302
0.9300000000000006,220,153,155,155,155,3343
0.9400000000000006,220,152,154,155,154,3382
0.9500000000000006,220,151,154,154,153,3417
0.9600000000000006,220,151,153,154,152,3449
0.9700000000000006,220,150,152,153,151,3478
0.9800000000000006,220,149,152,153,150,3504
0.9900000000000007,220,149,151,153,149,3529
1.0000000000000007,220,148,151,152,149,3550
1.0100000000000007,220,148,151,152,148,3570
1.0200000000000007,220,148,150,152,148,3586
1.0300000000000007,220,148,150,152,148,3599
1.0400000000000007,220,147,150,152,147,3609
1.0500000000000007,220,147,150,152,147,3616
1.0600000000000007,220,147,150,152,147,3619
1.0700000000000007,220,147,150,152,147,3617
1.0800000000000007,220,147,150,152,147,3612
1.0900000000000007,220,147,150,152,148,3603
1.1000000000000008,220,148,150,152,148,3591
1.1100000000000008,220,148,150,152,148,3578
1.1200000000000008,220,148,151,152,148,3562
1.1300000000000008,220,149,151,153,149,3545
1.1400000000000008,220,149,151,153,149,3528
1.1500000000000008,220,149,151,153,149,3510
1.1600000000000008,220,150,151,153,150,3491
1.1700000000000008,220,150,152,154,150,3472
1.1800000000000008,220,150,152,154,151,3453
1.1900000000000008,220,151,152,154,151,3433
1.2000000000000008,220,151,152,155,152,3413
1.2100000000000009,220,152,153,155,152,3390
1.2200000000000009,220,152,153,155,153,3367
1.2300000000000009,220,153,153,155,153,3341
1.2400000000000009,220,153,154,156,154,3312
1.2500000000000009,220,154,154,156,154,3283
