t,i1,i2,i3,i4,i5
0.0,0,0,0,0,0
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,0,0,0
0.04,0,0,0,0,0
0.05,0,0,0,0,0
0.060000000000000005,0,0,0,0,0
0.07,0,0,0,0,0
0.08,0,0,0,0,0
0.09,3000,0,0,0,0
0.09999999999999999,3000,0,0,0,0
0.10999999999999999,3000,161,113,146,101
0.11999999999999998,3000,223,210,227,203
0.12999999999999998,3000,284,264,284,251
0.13999999999999999,3000,323,314,337,300
0.15,3000,375,362,384,335
0.16,3000,416,393,428,374
0.17,3000,442,425,461,409
0.18000000000000002,3000,477,453,503,428
0.19000000000000003,3000,497,484,518,462
0.20000000000000004,3000,533,506,557,483
0.21000000000000005,3000,549,536,574,508
0.22000000000000006,3000,583,561,609,536
0.23000000000000007,3000,591,574,615,544
0.24000000000000007,3000,611,589,636,563
0.25000000000000006,3000,621,611,645,569
0.26000000000000006,3000,636,613,662,589
0.2700000000000001,3000,647,628,684,593
0.2800000000000001,3000,651,653,692,600
0.2900000000000001,3000,666,649,701,619
0.3000000000000001,3000,671,666,716,630
0.3100000000000001,3000,687,666,722,634
0.3200000000000001,3000,689,675,727,641
0.3300000000000001,3000,696,692,743,660
0.34000000000000014,3000,699,684,743,660
0.35000000000000014,3000,706,701,751,668
0.36000000000000015,3000,701,694,760,668
0.37000000000000016,3000,719,719,754,673
0.38000000000000017,3000,714,714,766,687
0.3900000000000002,3000,724,714,763,682
0.4000000000000002,3000,722,716,766,689
0.4100000000000002,3000,716,722,787,692
0.4200000000000002,3000,727,724,784,692
0.4300000000000002,3000,729,727,781,689
0.4400000000000002,3000,727,727,781,699
0.45000000000000023,3000,740,735,796,699
0.46000000000000024,3000,740,729,790,711
0.47000000000000025,3000,735,732,781,706
0.48000000000000026,3000,746,738,793,711
0.49000000000000027,3000,735,735,784,706
0.5000000000000002,3000,738,735,793,709
0.5100000000000002,3000,751,743,796,709
0.5200000000000002,3000,746,743,806,716
