t,i1,i2,i3,i4,i5
0.0,0,0,0,0,0
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,0,0,0
0.04,0,0,0,0,0
0.05,0,0,0,0,0
0.060000000000000005,0,0,0,0,0
0.07,0,0,0,0,0
0.08,0,0,0,0,0
0.09,0,0,0,0,0
0.09999999999999999,0,0,0,0,0
0.10999999999999999,0,0,0,0,0
0.11999999999999998,0,0,0,0,0
0.12999999999999998,0,0,0,0,0
0.13999999999999999,0,0,0,0,0
0.15,1000,0,0,0,0
0.16,1000,0,0,0,0
0.17,1000,0,0,0,0
0.18000000000000002,1000,0,0,0,0
0.19000000000000003,1000,0,0,0,0
0.20000000000000004,1000,0,0,0,42
0.21000000000000005,1000,45,52,0,42
0.22000000000000006,1000,45,52,0,42
0.23000000000000007,1000,58,52,41,46
0.24000000000000007,1000,58,63,65,53
0.25000000000000006,1000,68,63,65,53
0.26000000000000006,1000,82,68,74,58
0.2700000000000001,1000,88,76,79,58
0.2800000000000001,1000,89,83,87,62
0.2900000000000001,1000,94,86,95,75
0.3000000000000001,1000,100,90,105,75
0.3100000000000001,1000,105,90,104,70
0.3200000000000001,1000,112,87,109,75
0.3300000000000001,1000,113,94,112,76
0.34000000000000014,1000,116,100,115,81
0.35000000000000014,1000,121,104,125,81
0.36000000000000015,1000,127,101,127,82
0.37000000000000016,1000,128,103,127,87
0.38000000000000017,1000,126,104,135,85
0.3900000000000002,1000,136,111,144,85
0.4000000000000002,1000,137,110,140,84
0.4100000000000002,1000,139,112,147,84
0.4200000000000002,1000,143,109,146,85
0.4300000000000002,1000,141,112,153,94
0.4400000000000002,1000,151,118,153,89
0.45000000000000023,1000,149,120,156,89
0.46000000000000024,1000,150,120,158,89
0.47000000000000025,1000,151,121,162,93
0.48000000000000026,1000,157,119,161,93
0.49000000000000027,1000,155,123,164,96
0.5000000000000002,1000,159,122,169,94
0.5100000000000002,1000,159,123,168,92
0.5200000000000002,1000,160,124,172,90
