t,i1,i2,i3,i4,i5,i6
0.0,260,247,-248,244,-242,-708
0.01,260,236,-237,226,-223,-1453
0.02,260,218,-218,202,-200,-2374
0.03,260,195,-196,177,-175,-3378
0.04,260,171,-171,151,-150,-4396
0.05,260,146,-146,126,-125,-5378
0.060000000000000005,260,122,-122,103,-102,-6292
0.07,260,100,-100,84,-82,-7117
0.08,260,81,-80,69,-65,-7766
0.09,260,66,-62,57,-53,-8264
0.09999999999999999,260,55,-48,50,-44,-8612
0.10999999999999999,260,46,-38,45,-39,-8826
0.11999999999999998,260,40,-32,45,-37,-8919
0.12999999999999998,260,37,-29,46,-36,-8922
0.13999999999999999,260,35,-28,50,-38,-8849
0.15,260,36,-30,56,-42,-8711
0.16,260,37,-33,63,-47,-8516
0.17,260,40,-37,71,-52,-8292
0.18000000000000002,260,44,-42,79,-58,-8042
0.19000000000000003,260,48,-47,87,-65,-7773
0.20000000000000004,260,53,-52,95,-72,-7502
0.21000000000000005,260,57,-58,102,-78,-7240
0.22000000000000006,260,60,-63,108,-84,-7012
0.23000000000000007,260,64,-67,113,-89,-6832
0.24000000000000007,260,67,-70,117,-92,-6697
0.25000000000000006,260,69,-72,120,-95,-6596
0.26000000000000006,260,71,-74,123,-97,-6513
0.2700000000000001,260,73,-74,124,-98,-6445
0.2800000000000001,260,74,-74,125,-100,-6398
0.2900000000000001,260,74,-74,125,-100,-6366
0.3000000000000001,260,75,-73,124,-101,-6356
0.3100000000000001,260,74,-72,123,-100,-6369
0.3200000000000001,260,74,-71,122,-99,-6415
0.3300000000000001,260,74,-69,120,-98,-6476
0.34000000000000014,260,73,-67,118,-96,-6541
0.35000000000000014,260,72,-65,116,-95,-6596
0.36000000000000015,260,71,-63,115,-93,-6646
0.37000000000000016,260,69,-62,113,-92,-6690
0.38000000000000017,260,68,-60,112,-91,-6736
0.3900000000000002,260,67,-59,111,-90,-6789
0.4000000000000002,260,66,-58,110,-88,-6864
0.4100000000000002,260,66,-58,109,-86,-6951
0.4200000000000002,260,65,-57,109,-84,-7032
0.4300000000000002,260,64,-57,109,-82,-7109
0.4400000000000002,260,64,-57,109,-80,-7173
0.45000000000000023,260,63,-57,109,-79,-7215
0.46000000000000024,260,63,-58,109,-78,-7241
0.47000000000000025,260,63,-58,108,-78,-7262
0.48000000000000026,260,63,-59,108,-78,-7276
0.49000000000000027,260,63,-59,108,-78,-7274
0.5000000000000002,260,63,-59,108,-78,-7262
0.5100000000000002,260,64,-60,108,-79,-7238
0.5200000000000002,260,65,-61,109,-79,-7207
0.5300000000000002,260,66,-61,110,-80,-7174
0.5400000000000003,260,67,-62,111,-81,-7137
0.5500000000000003,260,68,-63,112,-82,-7095
0.5600000000000003,260,70,-65,113,-83,-7063
0.5700000000000003,260,70,-66,115,-84,-7033
0.5800000000000003,260,71,-68,116,-84,-7010
0.5900000000000003,260,71,-69,117,-85,-6993
0.6000000000000003,260,71,-70,118,-84,-7003
0.6100000000000003,260,72,-71,118,-84,-7028
0.6200000000000003,260,72,-71,119,-83,-7065
0.6300000000000003,260,71,-71,119,-82,-7110
0.6400000000000003,260,71,-71,119,-81,-7151
0.6500000000000004,260,70,-70,118,-80,-7173
0.6600000000000004,260,69,-70,117,-80,-7178
0.6700000000000004,260,68,-69,116,-80,-7166
0.6800000000000004,260,67,-68,115,-81,-7134
0.6900000000000004,260,66,-67,113,-82,-7100
0.7000000000000004,260,65,-66,112,-83,-7069
0.7100000000000004,260,65,-66,110,-83,-7043
0.7200000000000004,260,64,-66,109,-84,-7021
0.7300000000000004,260,63,-65,108,-84,-7001
0.7400000000000004,260,63,-65,107,-85,-6978
0.7500000000000004,260,62,-65,107,-86,-6940
0.7600000000000005,260,62,-65,107,-87,-6900
0.7700000000000005,260,61,-65,107,-88,-6865
0.7800000000000005,260,60,-65,108,-89,-6829
0.7900000000000005,260,60,-65,108,-90,-6795
0.8000000000000005,260,60,-65,109,-90,-6763
0.8100000000000005,260,61,-65,109,-91,-6731
0.8200000000000005,260,61,-65,110,-92,-6701
0.8300000000000005,260,61,-65,112,-93,-6670
0.8400000000000005,260,61,-65,113,-93,-6643
0.8500000000000005,260,62,-66,114,-94,-6626
0.8600000000000005,260,63,-66,114,-94,-6613
0.8700000000000006,260,64,-67,114,-94,-6610
0.8800000000000006,260,65,-67,114,-94,-6615
0.8900000000000006,260,67,-68,114,-94,-6625
0.9000000000000006,260,69,-68,113,-94,-6636
0.9100000000000006,260,70,-68,113,-93,-6656
0.9200000000000006,260,71,-68,112,-93,-6678
0.9300000000000006,260,72,-68,112,-92,-6696
0.9400000000000006,260,72,-68,112,-92,-6709
0.9500000000000006,260,72,-68,112,-91,-6723
0.9600000000000006,260,72,-67,112,-91,-6745
0.9700000000000006,260,71,-67,112,-90,-6771
0.9800000000000006,260,70,-66,112,-89,-6804
0.9900000000000007,260,70,-64,112,-89,-6824
1.0000000000000007,260,69,-63,113,-89,-6834
1.0100000000000007,260,69,-63,113,-89,-6831
1.0200000000000007,260,69,-62,113,-89,-6824
1.0300000000000007,260,68,-62,112,-89,-6819
