t,i1,i2,i3,i4,i5,i6
0.0,100,0,0,0,0,0
0.01,100,0,0,0,0,6000
0.02,100,0,0,0,0,6000
0.03,100,0,0,0,0,6000
0.04,100,0,0,0,0,6000
0.05,100,0,0,3,2,5850
0.060000000000000005,100,0,3,8,6,5587
0.07,100,2,63,14,12,5255
0.08,100,7,106,23,18,4862
0.09,100,13,135,32,26,4424
0.09999999999999999,100,20,153,42,33,3977
0.10999999999999999,100,26,162,51,40,3546
0.11999999999999998,100,32,165,60,47,3143
0.12999999999999998,100,36,158,67,53,2787
0.13999999999999999,100,40,145,74,58,2493
0.15,100,44,129,79,62,2255
0.16,100,48,110,81,64,2113
0.17,100,52,91,83,65,2045
0.18000000000000002,100,58,75,83,65,2042
0.19000000000000003,100,63,60,82,65,2085
0.20000000000000004,100,68,50,80,63,2161
0.21000000000000005,100,72,42,77,62,2257
0.22000000000000006,100,75,39,74,60,2363
0.23000000000000007,100,76,40,71,58,2471
0.24000000000000007,100,77,45,68,57,2541
0.25000000000000006,100,76,51,65,57,2550
0.26000000000000006,100,75,59,62,58,2496
0.2700000000000001,100,73,67,60,59,2400
0.2800000000000001,100,70,74,59,62,2277
0.2900000000000001,100,68,79,58,64,2142
0.3000000000000001,100,66,81,58,66,2017
0.3100000000000001,100,64,82,60,68,1902
0.3200000000000001,100,63,81,62,69,1826
0.3300000000000001,100,63,78,65,70,1789
0.34000000000000014,100,63,74,67,70,1783
0.35000000000000014,100,64,70,70,70,1797
0.36000000000000015,100,65,65,72,69,1819
0.37000000000000016,100,67,61,74,69,1843
0.38000000000000017,100,68,59,74,68,1875
0.3900000000000002,100,70,59,74,68,1904
0.4000000000000002,100,71,60,74,67,1931
0.4100000000000002,100,72,62,73,67,1944
0.4200000000000002,100,73,65,71,67,1936
0.4300000000000002,100,72,69,70,68,1908
0.4400000000000002,100,72,74,68,68,1868
0.45000000000000023,100,71,78,67,69,1818
0.46000000000000024,100,70,81,66,70,1763
0.47000000000000025,100,69,83,65,71,1710
0.48000000000000026,100,68,84,65,72,1661
0.49000000000000027,100,68,84,66,72,1625
0.5000000000000002,100,67,82,67,73,1607
0.5100000000000002,100,67,80,69,73,1603
0.5200000000000002,100,67,77,70,73,1614
0.5300000000000002,100,68,73,72,72,1636
0.5400000000000003,100,68,70,73,72,1658
0.5500000000000003,100,69,67,74,71,1680
0.5600000000000003,100,70,65,74,71,1701
0.5700000000000003,100,71,64,74,71,1725
0.5800000000000003,100,72,64,73,70,1751
0.5900000000000003,100,72,64,72,70,1777
0.6000000000000003,100,72,66,71,69,1804
0.6100000000000003,100,72,68,70,69,1830
0.6200000000000003,100,72,71,69,69,1845
0.6300000000000003,100,71,74,69,69,1846
0.6400000000000003,100,71,75,68,69,1841
0.6500000000000004,100,71,77,68,69,1833
0.6600000000000004,100,70,77,67,69,1816
0.6700000000000004,100,70,77,67,70,1798
0.6800000000000004,100,69,76,67,70,1779
0.6900000000000004,100,68,74,68,70,1765
0.7000000000000004,100,68,72,68,70,1756
0.7100000000000004,100,67,70,69,70,1760
0.7200000000000004,100,67,69,69,70,1772
0.7300000000000004,100,67,68,70,70,1796
0.7400000000000004,100,68,67,70,69,1828
0.7500000000000004,100,68,67,70,68,1866
0.7600000000000005,100,68,67,70,68,1900
0.7700000000000005,100,68,68,69,67,1927
0.7800000000000005,100,68,69,69,67,1949
0.7900000000000005,100,68,70,68,67,1958
0.8000000000000005,100,68,71,68,67,1957
0.8100000000000005,100,68,72,68,67,1949
0.8200000000000005,100,68,72,68,67,1929
0.8300000000000005,100,67,72,68,68,1901
0.8400000000000005,100,67,72,68,68,1869
0.8500000000000005,100,67,72,68,69,1835
0.8600000000000005,100,67,71,68,69,1805
0.8700000000000006,100,67,71,69,70,1796
0.8800000000000006,100,67,70,69,69,1804
0.8900000000000006,100,67,70,69,69,1820
0.9000000000000006,100,68,70,69,69,1835
0.9100000000000006,100,68,70,69,69,1850
0.9200000000000006,100,69,70,69,69,1855
0.9300000000000006,100,70,71,69,69,1849
0.9400000000000006,100,70,71,69,69,1831
0.9500000000000006,100,71,72,69,69,1807
0.9600000000000006,100,71,72,69,70,1779
0.9700000000000006,100,72,72,70,70,1754
0.9800000000000006,100,72,72,70,71,1734
0.9900000000000007,100,72,72,71,71,1725
1.0000000000000007,100,72,72,71,71,1733
1.0100000000000007,100,72,71,72,70,1750
1.0200000000000007,100,72,71,72,70,1771
1.0300000000000007,100,72,71,71,70,1791
1.0400000000000007,100,72,71,71,69,1802
1.0500000000000007,100,71,71,70,69,1807
1.0600000000000007,100,71,71,69,69,1805
1.0700000000000007,100,70,71,68,69,1803
1.0800000000000007,100,69,71,67,69,1802
1.0900000000000007,100,68,71,66,69,1812
1.1000000000000008,100,67,71,66,69,1831
1.1100000000000008,100,66,70,66,69,1857
1.1200000000000008,100,66,70,66,68,1886
1.1300000000000008,100,65,70,67,68,1905
1.1400000000000008,100,66,70,67,68,1908
1.1500000000000008,100,66,70,68,68,1900
1.1600000000000008,100,67,70,68,68,1885
1.1700000000000008,100,67,70,69,68,1863
1.1800000000000008,100,68,69,69,69,1836
1.1900000000000008,100,68,69,69,69,1810
1.2000000000000008,100,68,70,70,70,1784
1.2100000000000009,100,68,70,70,70,1755
1.2200000000000009,100,68,70,70,71,1726
1.2300000000000009,100,68,71,71,71,1707
1.2400000000000009,100,68,71,71,71,1692
1.2500000000000009,100,69,72,71,72,1678
1.260000000000001,100,69,72,71,72,1666
1.270000000000001,100,70,72,71,72,1658
1.280000000000001,100,70,72,71,72,1650
1.290000000000001,100,70,72,71,72,1644
1.300000000000001,100,71,72,71,72,1643
1.310000000000001,100,71,72,71,72,1642
1.320000000000001,100,71,72,71,72,1643
1.330000000000001,100,71,72,71,72,1645
1.340000000000001,100,71,72,71,72,1651
1.350000000000001,100,71,71,71,72,1661
1.360000000000001,100,71,71,71,72,1675
1.370000000000001,100,71,71,71,71,1690
1.380000000000001,100,71,71,71,71,1703
1.390000000000001,100,71,71,70,71,1716
1.400000000000001,100,71,71,70,71,1729
1.410000000000001,100,71,70,70,70,1742
1.420000000000001,100,71,70,70,70,1755
1.430000000000001,100,71,70,70,70,1770
1.440000000000001,100,70,70,69,70,1789
1.450000000000001,100,70,70,69,69,1811
1.460000000000001,100,70,70,69,69,1834
1.470000000000001,100,70,70,69,68,1860
1.480000000000001,100,70,70,69,68,1872
1.490000000000001,100,69,70,69,68,1875
1.500000000000001,100,69,70,68,68,1876
1.5100000000000011,100,69,70,68,68,1876
1.5200000000000011,100,68,69,68,68,1879
1.5300000000000011,100,68,69,68,68,1882
1.5400000000000011,100,67,69,68,68,1883
1.5500000000000012,100,67,69,68,68,1880
1.5600000000000012,100,67,69,69,68,1875
1.5700000000000012,100,67,69,69,68,1867
1.5800000000000012,100,68,69,70,69,1859
1.5900000000000012,100,68,70,70,69,1851
1.6000000000000012,100,69,70,70,69,1848
1.6100000000000012,100,69,70,71,69,1847
1.6200000000000012,100,69,70,71,69,1846
1.6300000000000012,100,69,70,71,69,1846
1.6400000000000012,100,69,70,71,69,1845
