t,i1,i2,i3,i4,i5,i6
0.0,100,213,116,219,114,1534
0.01,100,213,116,210,109,-3559
0.02,100,204,111,193,100,-3052
0.03,100,188,102,173,90,-2426
0.04,100,168,92,148,79,-1746
0.05,100,144,80,120,67,-1056
0.060000000000000005,100,118,69,92,55,-317
0.07,100,90,57,65,42,424
0.08,100,64,47,41,31,1135
0.09,100,40,37,20,20,1792
0.09999999999999999,100,18,29,2,10,2382
0.10999999999999999,100,0,22,-9,1,2899
0.11999999999999998,100,-10,16,-14,-5,3342
0.12999999999999998,100,-15,11,-13,-11,3713
0.13999999999999999,100,-15,7,-7,-16,4016
0.15,100,-13,4,1,-20,4259
0.16,100,-9,1,13,-22,4350
0.17,100,-4,0,27,-22,4330
0.18000000000000002,100,2,-1,41,-20,4233
0.19000000000000003,100,8,-1,54,-16,4016
0.20000000000000004,100,14,-1,66,-12,3726
0.21000000000000005,100,20,-1,77,-5,3313
0.22000000000000006,100,25,0,85,3,2815
0.23000000000000007,100,31,4,90,12,2267
0.24000000000000007,100,37,9,93,21,1707
0.25000000000000006,100,43,16,94,30,1163
0.26000000000000006,100,49,24,92,38,662
0.2700000000000001,100,54,32,89,46,235
0.2800000000000001,100,59,41,84,52,-120
0.2900000000000001,100,64,49,79,56,-397
0.3000000000000001,100,68,57,73,60,-606
0.3100000000000001,100,71,64,68,62,-740
0.3200000000000001,100,73,69,64,63,-814
0.3300000000000001,100,75,73,62,63,-825
0.34000000000000014,100,77,75,62,63,-790
0.35000000000000014,100,78,77,64,62,-731
0.36000000000000015,100,78,76,67,61,-678
0.37000000000000016,100,77,75,71,60,-632
0.38000000000000017,100,76,72,77,60,-606
0.3900000000000002,100,75,68,82,59,-596
0.4000000000000002,100,73,64,86,59,-599
0.4100000000000002,100,71,60,89,60,-607
0.4200000000000002,100,67,57,90,60,-617
0.4300000000000002,100,64,52,89,59,-597
0.4400000000000002,100,61,48,87,59,-557
0.45000000000000023,100,57,43,84,58,-503
0.46000000000000024,100,54,39,81,56,-393
0.47000000000000025,100,52,38,78,54,-247
0.48000000000000026,100,49,37,75,51,-83
0.49000000000000027,100,47,38,72,48,86
0.5000000000000002,100,45,40,69,45,252
0.5100000000000002,100,43,42,64,43,408
0.5200000000000002,100,42,44,59,40,551
0.5300000000000002,100,40,45,54,38,677
0.5400000000000003,100,38,47,50,36,837
0.5500000000000003,100,37,48,47,33,1013
0.5600000000000003,100,37,49,46,30,1194
0.5700000000000003,100,37,49,47,28,1302
0.5800000000000003,100,37,47,48,27,1355
0.5900000000000003,100,37,45,50,27,1324
0.6000000000000003,100,37,42,52,29,1236
0.6100000000000003,100,37,40,53,31,1094
0.6200000000000003,100,38,37,54,34,920
0.6300000000000003,100,38,34,54,37,730
0.6400000000000003,100,38,32,54,40,566
0.6500000000000004,100,38,29,53,42,429
0.6600000000000004,100,39,27,52,44,316
0.6700000000000004,100,39,26,51,46,225
0.6800000000000004,100,41,27,50,47,153
0.6900000000000004,100,42,29,48,47,171
0.7000000000000004,100,43,32,47,45,251
0.7100000000000004,100,45,36,46,43,370
0.7200000000000004,100,47,41,45,41,512
0.7300000000000004,100,48,44,45,38,664
0.7400000000000004,100,49,47,45,36,821
0.7500000000000004,100,50,50,45,33,975
0.7600000000000005,100,50,51,45,32,1050
0.7700000000000005,100,51,52,46,32,1068
0.7800000000000005,100,51,52,48,33,1003
0.7900000000000005,100,52,51,50,35,867
0.8000000000000005,100,52,50,51,38,683
0.8100000000000005,100,52,48,53,42,472
0.8200000000000005,100,51,46,54,45,261
0.8300000000000005,100,50,42,55,49,58
0.8400000000000005,100,49,39,56,51,-100
0.8500000000000005,100,48,37,56,53,-221
0.8600000000000005,100,48,34,56,55,-309
0.8700000000000006,100,48,33,55,54,-298
0.8800000000000006,100,48,34,53,53,-219
0.8900000000000006,100,49,35,52,51,-95
0.9000000000000006,100,49,37,50,49,54
0.9100000000000006,100,50,40,49,46,216
0.9200000000000006,100,50,43,47,43,378
0.9300000000000006,100,50,46,47,40,564
0.9400000000000006,100,50,48,46,37,757
0.9500000000000006,100,50,50,46,35,884
0.9600000000000006,100,49,52,46,34,957
0.9700000000000006,100,49,52,47,34,942
0.9800000000000006,100,49,52,47,35,866
0.9900000000000007,100,49,51,48,37,737
1.0000000000000007,100,49,49,49,40,578
1.0100000000000007,100,49,47,50,43,406
1.0200000000000007,100,49,44,51,45,244
1.0300000000000007,100,48,42,51,48,94
1.0400000000000007,100,47,39,52,50,-14
1.0500000000000007,100,46,37,52,51,-90
1.0600000000000007,100,46,35,51,52,-139
1.0700000000000007,100,47,35,51,52,-125
1.0800000000000007,100,47,35,50,51,-67
1.0900000000000007,100,48,37,50,49,18
1.1000000000000008,100,49,39,49,47,121
1.1100000000000008,100,50,41,48,45,260
1.1200000000000008,100,51,44,48,43,417
1.1300000000000008,100,52,46,48,40,582
1.1400000000000008,100,52,49,48,38,714
1.1500000000000008,100,52,50,48,36,818
1.1600000000000008,100,53,51,49,35,858
1.1700000000000008,100,53,51,50,35,850
1.1800000000000008,100,54,50,50,36,783
1.1900000000000008,100,54,50,51,38,666
1.2000000000000008,100,54,48,52,41,520
1.2100000000000009,100,53,47,53,43,362
