t,i1,i2,i3,i4,i5
0.0,0,0,0,0,0
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,0,0,0
0.04,0,0,0,0,0
0.05,0,0,0,0,0
0.060000000000000005,0,0,0,0,0
0.07,2000,0,0,0,0
0.08,2000,0,0,0,0
0.09,2000,0,68,0,66
0.09999999999999999,2000,106,101,139,66
0.10999999999999999,2000,148,103,160,85
0.11999999999999998,2000,141,102,197,93
0.12999999999999998,2000,114,86,219,69
0.13999999999999999,2000,90,86,222,69
0.15,2000,90,64,190,54
0.16,2000,53,64,153,54
0.17,2000,53,64,123,55
0.18000000000000002,2000,53,30,123,80
0.19000000000000003,2000,32,30,77,88
0.20000000000000004,2000,32,30,77,109
0.21000000000000005,2000,66,40,44,107
0.22000000000000006,2000,92,87,44,112
0.23000000000000007,2000,99,111,45,118
0.24000000000000007,2000,105,157,45,121
0.25000000000000006,2000,117,166,61,111
0.26000000000000006,2000,120,178,87,106
0.2700000000000001,2000,114,176,102,102
0.2800000000000001,2000,114,162,108,111
0.2900000000000001,2000,111,139,130,117
0.3000000000000001,2000,113,122,140,128
0.3100000000000001,2000,113,112,139,148
0.3200000000000001,2000,128,102,152,150
0.3300000000000001,2000,131,101,148,162
0.34000000000000014,2000,129,108,174,150
0.35000000000000014,2000,162,114,176,143
0.36000000000000015,2000,163,145,182,142
0.37000000000000016,2000,173,152,194,133
0.38000000000000017,2000,191,172,195,159
0.3900000000000002,2000,185,185,201,151
0.4000000000000002,2000,182,173,203,174
0.4100000000000002,2000,181,178,195,187
0.4200000000000002,2000,187,195,197,185
0.4300000000000002,2000,199,203,193,191
0.4400000000000002,2000,208,213,177,197
0.45000000000000023,2000,212,220,182,199
0.46000000000000024,2000,216,220,194,203
0.47000000000000025,2000,228,228,193,203
0.48000000000000026,2000,207,229,199,220
0.49000000000000027,2000,221,239,211,229
0.5000000000000002,2000,232,240,225,232
0.5100000000000002,2000,242,215,227,237
0.5200000000000002,2000,229,227,217,245
